cllay52vc1rb407a06rxa4gp6,1,2189,2109,2296,2221
cllay52vc1rb407a06rxa4gp6,2,2306,2086,2391,2217
cllay52vc1rb407a06rxa4gp6,3,2315,2184,2457,2251
cllay52vc1rb407a06rxa4gp6,4,2077,2276,2255,2353
cllay52vc1rb407a06rxa4gp6,5,2279,2303,2433,2403
cllay52vc1rb407a06rxa4gp6,6,2036,2381,2215,2461
cllay52vc1rb407a06rxa4gp6,7,2238,2421,2398,2523
cllay52vc1rb407a06rxa4gp6,8,2021,2504,2183,2577
cllay52vc1rb407a06rxa4gp6,9,2212,2510,2387,2582
cllay52vc1rb407a06rxa4gp6,10,2017,2615,2176,2702
cllay52vc1rb407a06rxa4gp6,11,2200,2606,2362,2697
cllay52vc1rb407a06rxa4gp6,12,2023,2781,2179,2873
cllay52vc1rb407a06rxa4gp6,13,2199,2712,2313,2859
cllay52vc1rb407a06rxa4gp6,14,2206,2993,2378,3086
cllay52vc1rb407a06rxa4gp6,15,2028,3053,2184,3166
cllay52vc1rb407a06rxa4gp6,16,2096,3230,2197,3366
cllay52vc1rb407a06rxa4gp6,17,2205,3250,2298,3371
cllay52vc1rb807a0cfc694vp,1,1897,1895,2067,2148
cllay52vc1rb807a0cfc694vp,2,1786,2086,2059,2217
cllay52vc1rb807a0cfc694vp,3,1808,2173,2051,2340
cllay52vc1rb807a0cfc694vp,4,1734,2268,2034,2455
cllay52vc1rb807a0cfc694vp,5,1765,2389,2025,2573
cllay52vc1rb807a0cfc694vp,6,1726,2531,2040,2702
cllay52vc1rb807a0cfc694vp,7,1725,2732,2048,2879
cllay52vc1rb807a0cfc694vp,8,1804,2924,2070,3089
cllay52vc1rb807a0cfc694vp,9,1827,3110,2125,3258
cllay52vc1rb807a0cfc694vp,10,2088,2131,2370,2241
cllay52vc1rb807a0cfc694vp,11,2079,2247,2391,2364
cllay52vc1rb807a0cfc694vp,12,2060,2360,2379,2480
cllay52vc1rb807a0cfc694vp,13,2057,2472,2317,2581
cllay52vc1rb807a0cfc694vp,14,2055,2576,2358,2711
cllay52vc1rb807a0cfc694vp,15,2065,2739,2359,2875
cllay52vc1rb807a0cfc694vp,16,2096,2896,2353,3011
cllay52vc1rb807a0cfc694vp,17,2166,3198,2448,3346
cllay52vc1rb807a0cfc694vp,18,2022,2141,2523,3870
cllay52vc1rbc07a054cb5vps,1,1799,2134,1932,2326
cllay52vc1rbc07a054cb5vps,2,1931,2147,2054,2326
cllay52vc1rbc07a054cb5vps,3,1972,2281,2175,2435
cllay52vc1rbc07a054cb5vps,4,1752,2396,1999,2572
cllay52vc1rbc07a054cb5vps,5,1703,2356,1951,2453
cllay52vc1rbc07a054cb5vps,6,2021,2484,2268,2593
cllay52vc1rbc07a054cb5vps,7,1773,2540,2034,2708
cllay52vc1rbc07a054cb5vps,8,2050,2564,2296,2710
cllay52vc1rbc07a054cb5vps,9,1788,2667,2058,2838
cllay52vc1rbc07a054cb5vps,10,2074,2721,2301,2846
cllay52vc1rbc07a054cb5vps,11,1837,2797,2073,2979
cllay52vc1rbc07a054cb5vps,12,2088,2862,2246,2969
cllay52vc1rbc07a054cb5vps,13,1836,2968,2085,3130
cllay52vc1rbc07a054cb5vps,14,2102,2952,2314,3128
cllay52vc1rbc07a054cb5vps,15,1826,3099,2079,3279
cllay52vc1rbc07a054cb5vps,16,2100,3124,2334,3286
cllay52vc1rbc07a054cb5vps,17,1822,3295,2055,3473
cllay52vc1rbc07a054cb5vps,18,2079,3399,2322,3515
cllay52vc1rbc07a054cb5vps,19,1776,3631,1996,3746
cllay52vc1rbc07a054cb5vps,20,2023,3703,2176,3838
cllay52vc1rbc07a054cb5vps,21,1981,2318,1982,2319
cllay52vc1rbg07a0777t2o90,1,1721,2942,2021,3087
cllay52vc1rbg07a0777t2o90,2,2036,2970,2250,3086
cllay52vc1rbg07a0777t2o90,3,2096,3190,2350,3340
cllay52vc1rbg07a0777t2o90,4,1875,3221,2067,3316
cllay52vc1rbg07a0777t2o90,5,1937,2021,2116,2227
cllay52vc1rbg07a0777t2o90,6,1822,2129,2054,2338
cllay52vc1rbg07a0777t2o90,7,1706,2288,2004,2453
cllay52vc1rbg07a0777t2o90,8,1695,2562,1973,2698
cllay52vc1rbg07a0777t2o90,9,1663,2648,1984,2794
cllay52vc1rbg07a0777t2o90,10,1714,2751,2001,2888
cllay52vc1rbg07a0777t2o90,11,1689,2402,1977,2562
cllay52vc1rbg07a0777t2o90,12,2005,2800,2240,2920
cllay52vc1rbg07a0777t2o90,13,2072,2267,2302,2366
cllay52vc1rbg07a0777t2o90,14,1988,2597,2226,2715
cllay52vc1rbg07a0777t2o90,15,1995,2704,2227,2801
cllay52vc1rbg07a0777t2o90,16,1995,2541,2228,2628
cllay52vc1rbg07a0777t2o90,17,1987,2442,2191,2551
cllay52vc1rbg07a0777t2o90,18,2020,2353,2289,2474
cllay52vc1rbg07a0777t2o90,19,2236,3194,2247,3196
